track_id,confidence,lat,lon,video_timestamp,class_name,frame_idx
2,0.700666,26.8571,75.7724,00:00.4,garbage,12
4,0.422548,26.8571,75.7724,00:00.6,garbage,19
7,0.371227,26.8571,75.7724,00:02.2,garbage,65
15,0.54065,26.8571,75.7724,00:04.5,garbage,135
16,0.390782,26.8571,75.7724,00:04.6,garbage,139
24,0.502649,26.8571,75.7724,00:06.0,garbage,181
27,0.481952,26.8571,75.7724,00:06.5,garbage,194
31,0.368762,26.8571,75.7724,00:07.4,garbage,221
33,0.528546,26.8571,75.7724,00:10.3,garbage,310
39,0.55669,26.8571,75.7724,00:16.3,garbage,487
40,0.477187,26.8571,75.7724,00:16.4,garbage,492
45,0.345857,26.8571,75.7724,00:17.8,garbage,532
47,0.393583,26.8571,75.7724,00:17.9,garbage,535
56,0.384992,26.8571,75.7724,00:21.0,garbage,629
66,0.469701,26.8571,75.7724,00:23.8,garbage,712
78,0.510124,26.8571,75.7724,00:27.5,garbage,822
80,0.475627,26.8571,75.7724,00:27.5,garbage,823
82,0.530848,26.8571,75.7724,00:29.5,garbage,881
87,0.472694,26.8571,75.7724,00:30.9,garbage,925
